Method, Threads, Block Size, Average Execution Time (Âµs)
Non-coalesced, 662464, 528, 495.521
Coalesced, 662464, 530, 376.067
Non-coalesced, 662464, 530, 323.735
Coalesced, 662464, 532, 265.905
Non-coalesced, 662464, 532, 268.809
Coalesced, 662464, 534, 520.706
Non-coalesced, 662464, 534, 370.58
Coalesced, 662464, 536, 254.929
Non-coalesced, 662464, 536, 198.713
Coalesced, 662464, 538, 367.344
Non-coalesced, 662464, 538, 269.978
Coalesced, 662464, 540, 438.176
Non-coalesced, 662464, 540, 226.357
Coalesced, 662464, 542, 422.67
Non-coalesced, 662464, 542, 267.877
Coalesced, 662464, 544, 410.635
Non-coalesced, 662464, 544, 213.299
Coalesced, 662464, 546, 265.779
Non-coalesced, 662464, 546, 177.511
Coalesced, 662464, 548, 173.104
Non-coalesced, 662464, 548, 205.173
Coalesced, 662464, 550, 301.15
Non-coalesced, 662464, 550, 246.24
Coalesced, 662464, 552, 315.232
Non-coalesced, 662464, 552, 310.79
Coalesced, 662464, 554, 184.874
Non-coalesced, 662464, 554, 182.662
Coalesced, 662464, 556, 325.391
Non-coalesced, 662464, 556, 296.002
Coalesced, 662464, 558, 221.06
Non-coalesced, 662464, 558, 222.27
Coalesced, 662464, 560, 421.095
Non-coalesced, 662464, 560, 288.934
Coalesced, 662464, 562, 196.778
Non-coalesced, 662464, 562, 184.538
Coalesced, 662464, 564, 371.142
Non-coalesced, 662464, 564, 229.713
Coalesced, 662464, 566, 280.795
Non-coalesced, 662464, 566, 222.683
Coalesced, 662464, 568, 290.468
Non-coalesced, 662464, 568, 233.478
Coalesced, 662464, 570, 206.892
Non-coalesced, 662464, 570, 181.252
Coalesced, 662464, 572, 250.58
Non-coalesced, 662464, 572, 207.507
Coalesced, 662464, 574, 182.142
Non-coalesced, 662464, 574, 208.428
Coalesced, 662464, 576, 395.082
Non-coalesced, 662464, 576, 254.872
Coalesced, 662464, 578, 403.239
Non-coalesced, 662464, 578, 245.682
Coalesced, 662464, 580, 180.316
Non-coalesced, 662464, 580, 180.544
Coalesced, 662464, 582, 187.235
Non-coalesced, 662464, 582, 177.917
Coalesced, 662464, 584, 194.679
Non-coalesced, 662464, 584, 172.207
Coalesced, 662464, 586, 200.445
Non-coalesced, 662464, 586, 183.111
Coalesced, 662464, 588, 183.658
Non-coalesced, 662464, 588, 166.674
Coalesced, 662464, 590, 207.951
Non-coalesced, 662464, 590, 216.167
Coalesced, 662464, 592, 189.037
Non-coalesced, 662464, 592, 194.659
Coalesced, 662464, 594, 281.305
Non-coalesced, 662464, 594, 281.829
Coalesced, 662464, 596, 260.337
Non-coalesced, 662464, 596, 196.611
Coalesced, 662464, 598, 210.979
Non-coalesced, 662464, 598, 163.999
Coalesced, 662464, 600, 225.177
Non-coalesced, 662464, 600, 166.329
Coalesced, 662464, 602, 208.644
Non-coalesced, 662464, 602, 189.818
Coalesced, 662464, 604, 198.779
Non-coalesced, 662464, 604, 202.96
Coalesced, 662464, 606, 269.399
Non-coalesced, 662464, 606, 246.009
Coalesced, 662464, 608, 222.794
Non-coalesced, 662464, 608, 293.761
Coalesced, 662464, 610, 338.515
Non-coalesced, 662464, 610, 243.344
Coalesced, 662464, 612, 396.677
Non-coalesced, 662464, 612, 294.941
Coalesced, 662464, 614, 276.736
Non-coalesced, 662464, 614, 226.702
Coalesced, 662464, 616, 330.235
Non-coalesced, 662464, 616, 210.422
Coalesced, 662464, 618, 154.997
Non-coalesced, 662464, 618, 202.714
Coalesced, 662464, 620, 171.343
Non-coalesced, 662464, 620, 172.054
Coalesced, 662464, 622, 301.944
Non-coalesced, 662464, 622, 243.642
Coalesced, 662464, 624, 386.792
Non-coalesced, 662464, 624, 261.448
Coalesced, 662464, 626, 272.134
Non-coalesced, 662464, 626, 235.031
Coalesced, 662464, 628, 316.858
Non-coalesced, 662464, 628, 239.872
Coalesced, 662464, 630, 200.949
Non-coalesced, 662464, 630, 186.068
Coalesced, 662464, 632, 204.243
Non-coalesced, 662464, 632, 232.942
Coalesced, 662464, 634, 217.865
Non-coalesced, 662464, 634, 226.557
Coalesced, 662464, 636, 174.458
Non-coalesced, 662464, 636, 248.647
Coalesced, 662464, 638, 204.154
Non-coalesced, 662464, 638, 180.111
Coalesced, 662464, 640, 172.172
Non-coalesced, 662464, 640, 191.848
Coalesced, 662464, 642, 191.683
Non-coalesced, 662464, 642, 170.513
Coalesced, 662464, 644, 235.374
Non-coalesced, 662464, 644, 224.872
Coalesced, 662464, 646, 200.556
Non-coalesced, 662464, 646, 190.808
Coalesced, 662464, 648, 195.054
Non-coalesced, 662464, 648, 159.687
Coalesced, 662464, 650, 165.664
Non-coalesced, 662464, 650, 189.731
Coalesced, 662464, 652, 173.875
Non-coalesced, 662464, 652, 179.89
Coalesced, 662464, 654, 189.643
Non-coalesced, 662464, 654, 165.325
Coalesced, 662464, 656, 210.724
Non-coalesced, 662464, 656, 184.457
Coalesced, 662464, 658, 164.425
Non-coalesced, 662464, 658, 177.802
Coalesced, 662464, 660, 168.866
Non-coalesced, 662464, 660, 192.454
Coalesced, 662464, 662, 173.949
Non-coalesced, 662464, 662, 180.909
Coalesced, 662464, 664, 160.442
Non-coalesced, 662464, 664, 193.589
Coalesced, 662464, 666, 176.437
Non-coalesced, 662464, 666, 174.004
Coalesced, 662464, 668, 200.479
Non-coalesced, 662464, 668, 178.169
Coalesced, 662464, 670, 186.079
Non-coalesced, 662464, 670, 154.334
Coalesced, 662464, 672, 316.283
Non-coalesced, 662464, 672, 265.625
Coalesced, 662464, 674, 483.697
Non-coalesced, 662464, 674, 322.741
Coalesced, 662464, 676, 432.471
Non-coalesced, 662464, 676, 316.672
Coalesced, 662464, 678, 350.362
Non-coalesced, 662464, 678, 335.079
Coalesced, 662464, 680, 194.672
Non-coalesced, 662464, 680, 185.743
Coalesced, 662464, 682, 220.973
Non-coalesced, 662464, 682, 200.595
Coalesced, 662464, 684, 240.911
Non-coalesced, 662464, 684, 235.824
Coalesced, 662464, 686, 305.627
Non-coalesced, 662464, 686, 304.886
Coalesced, 662464, 688, 438.174
Non-coalesced, 662464, 688, 249.461
Coalesced, 662464, 690, 225.79
Non-coalesced, 662464, 690, 268.878
Coalesced, 662464, 692, 261.437
Non-coalesced, 662464, 692, 272.44
Coalesced, 662464, 694, 251.033
Non-coalesced, 662464, 694, 396.38
Coalesced, 662464, 696, 286.101
Non-coalesced, 662464, 696, 430.567
Coalesced, 662464, 698, 290.004
Non-coalesced, 662464, 698, 389.997
Coalesced, 662464, 700, 299.312
Non-coalesced, 662464, 700, 353.276
Coalesced, 662464, 702, 205.991
Non-coalesced, 662464, 702, 192.851
Coalesced, 662464, 704, 256.331
Non-coalesced, 662464, 704, 285.162
Coalesced, 662464, 706, 378.749
Non-coalesced, 662464, 706, 285.934
Coalesced, 662464, 708, 347.145
Non-coalesced, 662464, 708, 325.132
Coalesced, 662464, 710, 374.327
Non-coalesced, 662464, 710, 327.113
Coalesced, 662464, 712, 229.096
Non-coalesced, 662464, 712, 191.589
Coalesced, 662464, 714, 199.251
Non-coalesced, 662464, 714, 231.15
Coalesced, 662464, 716, 190.378
Non-coalesced, 662464, 716, 209.775
Coalesced, 662464, 718, 171.257
Non-coalesced, 662464, 718, 163.416
Coalesced, 662464, 720, 158.384
Non-coalesced, 662464, 720, 166.708
Coalesced, 662464, 722, 173.835
Non-coalesced, 662464, 722, 184.889
Coalesced, 662464, 724, 163.062
Non-coalesced, 662464, 724, 170.262
Coalesced, 662464, 726, 160.725
Non-coalesced, 662464, 726, 166.299
Coalesced, 662464, 728, 167.405
Non-coalesced, 662464, 728, 171.654
Coalesced, 662464, 730, 161.578
Non-coalesced, 662464, 730, 168.624
Coalesced, 662464, 732, 159.8
Non-coalesced, 662464, 732, 167.058
Coalesced, 662464, 734, 164.567
Non-coalesced, 662464, 734, 165.463
Coalesced, 662464, 736, 161.126
Non-coalesced, 662464, 736, 167.988
Coalesced, 662464, 738, 158.805
Non-coalesced, 662464, 738, 170.126
Coalesced, 662464, 740, 335.171
Non-coalesced, 662464, 740, 344.432
Coalesced, 662464, 742, 316.909
Non-coalesced, 662464, 742, 450.262
Coalesced, 662464, 744, 234.908
Non-coalesced, 662464, 744, 363.982
Coalesced, 662464, 746, 164.335
Non-coalesced, 662464, 746, 185.852
Coalesced, 662464, 748, 169.326
Non-coalesced, 662464, 748, 169.555
Coalesced, 662464, 750, 158.005
Non-coalesced, 662464, 750, 167.929
Coalesced, 662464, 752, 156.322
Non-coalesced, 662464, 752, 185.817
Coalesced, 662464, 754, 161.312
Non-coalesced, 662464, 754, 167.046
Coalesced, 662464, 756, 158.834
Non-coalesced, 662464, 756, 166.457
Coalesced, 662464, 758, 229.41
Non-coalesced, 662464, 758, 274.031
Coalesced, 662464, 760, 230.253
Non-coalesced, 662464, 760, 244.977
Coalesced, 662464, 762, 317.291
Non-coalesced, 662464, 762, 341.193
Coalesced, 662464, 764, 395.277
Non-coalesced, 662464, 764, 328.974
Coalesced, 662464, 766, 408.033
Non-coalesced, 662464, 766, 398.158
Coalesced, 662464, 768, 376.383
Non-coalesced, 662464, 768, 297.591
Coalesced, 662464, 770, 271.456
Non-coalesced, 662464, 770, 335.86
Coalesced, 662464, 772, 285.043
Non-coalesced, 662464, 772, 318.504
Coalesced, 662464, 774, 300.349
Non-coalesced, 662464, 774, 335.177
Coalesced, 662464, 776, 207.206
Non-coalesced, 662464, 776, 187.469
Coalesced, 662464, 778, 281.617
Non-coalesced, 662464, 778, 246.486
Coalesced, 662464, 780, 333.746
Non-coalesced, 662464, 780, 242.05
Coalesced, 662464, 782, 262.096
Non-coalesced, 662464, 782, 262.53
Coalesced, 662464, 784, 401.277
Non-coalesced, 662464, 784, 261.822
Coalesced, 662464, 786, 294.329
Non-coalesced, 662464, 786, 295.102
Coalesced, 662464, 788, 157.042
Non-coalesced, 662464, 788, 183.508
Coalesced, 662464, 790, 173.093
Non-coalesced, 662464, 790, 185.01
Coalesced, 662464, 792, 192.557
Non-coalesced, 662464, 792, 193.192
Coalesced, 662464, 794, 212.444
Non-coalesced, 662464, 794, 216.916
Coalesced, 662464, 796, 194.262
Non-coalesced, 662464, 796, 202.893
Coalesced, 662464, 798, 178.056
Non-coalesced, 662464, 798, 207.976
Coalesced, 662464, 800, 155.57
Non-coalesced, 662464, 800, 164.218
Coalesced, 662464, 802, 170.261
Non-coalesced, 662464, 802, 182.092
Coalesced, 662464, 804, 172.288
Non-coalesced, 662464, 804, 163.421
Coalesced, 662464, 806, 331.041
Non-coalesced, 662464, 806, 272.249
Coalesced, 662464, 808, 453.003
Non-coalesced, 662464, 808, 306.345
Coalesced, 662464, 810, 467.161
Non-coalesced, 662464, 810, 358.522
Coalesced, 662464, 812, 254.191
Non-coalesced, 662464, 812, 230.308
Coalesced, 662464, 814, 166.638
Non-coalesced, 662464, 814, 159.006
Coalesced, 662464, 816, 316.765
Non-coalesced, 662464, 816, 221.715
Coalesced, 662464, 818, 405.518
Non-coalesced, 662464, 818, 349.291
Coalesced, 662464, 820, 280.054
Non-coalesced, 662464, 820, 301.807
Coalesced, 662464, 822, 265.346
Non-coalesced, 662464, 822, 227.511
Coalesced, 662464, 824, 176.152
Non-coalesced, 662464, 824, 205.841
Coalesced, 662464, 826, 153.599
Non-coalesced, 662464, 826, 161.677
Coalesced, 662464, 828, 158.203
Non-coalesced, 662464, 828, 181.32
Coalesced, 662464, 830, 157.747
Non-coalesced, 662464, 830, 163.605
Coalesced, 662464, 832, 155.127
Non-coalesced, 662464, 832, 162.682
Coalesced, 662464, 834, 155.065
Non-coalesced, 662464, 834, 162.167
Coalesced, 662464, 836, 200.513
Non-coalesced, 662464, 836, 160.835
Coalesced, 662464, 838, 218.806
Non-coalesced, 662464, 838, 182.351
Coalesced, 662464, 840, 152.536
Non-coalesced, 662464, 840, 163.19
Coalesced, 662464, 842, 178.454
Non-coalesced, 662464, 842, 166.473
Coalesced, 662464, 844, 183.562
Non-coalesced, 662464, 844, 162.555
Coalesced, 662464, 846, 221.406
Non-coalesced, 662464, 846, 182.188
Coalesced, 662464, 848, 161.648
Non-coalesced, 662464, 848, 165.451
Coalesced, 662464, 850, 156.812
Non-coalesced, 662464, 850, 163.552
Coalesced, 662464, 852, 189.436
Non-coalesced, 662464, 852, 169.387
Coalesced, 662464, 854, 198.591
Non-coalesced, 662464, 854, 180.8
Coalesced, 662464, 856, 203.65
Non-coalesced, 662464, 856, 164.719
Coalesced, 662464, 858, 205.334
Non-coalesced, 662464, 858, 193.402
Coalesced, 662464, 860, 201.098
Non-coalesced, 662464, 860, 213.893
Coalesced, 662464, 862, 216.51
Non-coalesced, 662464, 862, 208.254
Coalesced, 662464, 864, 187.365
Non-coalesced, 662464, 864, 183.272
Coalesced, 662464, 866, 167.067
Non-coalesced, 662464, 866, 224.633
Coalesced, 662464, 868, 173.914
Non-coalesced, 662464, 868, 169.143
Coalesced, 662464, 870, 163.862
Non-coalesced, 662464, 870, 168.005
Coalesced, 662464, 872, 214.904
Non-coalesced, 662464, 872, 200.779
Coalesced, 662464, 874, 165.037
Non-coalesced, 662464, 874, 169.514
Coalesced, 662464, 876, 173.553
Non-coalesced, 662464, 876, 173.08
Coalesced, 662464, 878, 198.356
Non-coalesced, 662464, 878, 205.943
Coalesced, 662464, 880, 206.267
Non-coalesced, 662464, 880, 170.413
Coalesced, 662464, 882, 222.751
Non-coalesced, 662464, 882, 192.95
Coalesced, 662464, 884, 235.886
Non-coalesced, 662464, 884, 209.087
Coalesced, 662464, 886, 161.517
Non-coalesced, 662464, 886, 170.08
Coalesced, 662464, 888, 238.508
Non-coalesced, 662464, 888, 264.355
Coalesced, 662464, 890, 197.968
Non-coalesced, 662464, 890, 206.436
Coalesced, 662464, 892, 306.252
Non-coalesced, 662464, 892, 274.135
Coalesced, 662464, 894, 179.475
Non-coalesced, 662464, 894, 170.498
Coalesced, 662464, 896, 170.547
Non-coalesced, 662464, 896, 186.615
Coalesced, 662464, 898, 170.11
Non-coalesced, 662464, 898, 168.531
Coalesced, 662464, 900, 179.491
Non-coalesced, 662464, 900, 166.19
Coalesced, 662464, 902, 199.108
Non-coalesced, 662464, 902, 202.806
Coalesced, 662464, 904, 165.243
Non-coalesced, 662464, 904, 170.722
Coalesced, 662464, 906, 164.046
Non-coalesced, 662464, 906, 169.632
Coalesced, 662464, 908, 177.935
Non-coalesced, 662464, 908, 171.187
Coalesced, 662464, 910, 164.36
Non-coalesced, 662464, 910, 170.091
Coalesced, 662464, 912, 162.112
Non-coalesced, 662464, 912, 164.797
Coalesced, 662464, 914, 172.372
Non-coalesced, 662464, 914, 190.691
Coalesced, 662464, 916, 163.656
Non-coalesced, 662464, 916, 168.622
Coalesced, 662464, 918, 159.17
Non-coalesced, 662464, 918, 167.284
Coalesced, 662464, 920, 167.748
Non-coalesced, 662464, 920, 167.241
Coalesced, 662464, 922, 201.092
Non-coalesced, 662464, 922, 188.291
Coalesced, 662464, 924, 209.937
Non-coalesced, 662464, 924, 159.494
Coalesced, 662464, 926, 198.399
Non-coalesced, 662464, 926, 168.77
Coalesced, 662464, 928, 190.677
Non-coalesced, 662464, 928, 161.025
Coalesced, 662464, 930, 185.662
Non-coalesced, 662464, 930, 159.736
Coalesced, 662464, 932, 247.739
Non-coalesced, 662464, 932, 222.27
Coalesced, 662464, 934, 252.179
Non-coalesced, 662464, 934, 258.318
Coalesced, 662464, 936, 200.273
Non-coalesced, 662464, 936, 259.648
Coalesced, 662464, 938, 255.025
Non-coalesced, 662464, 938, 223.686
Coalesced, 662464, 940, 218.922
Non-coalesced, 662464, 940, 206.601
Coalesced, 662464, 942, 240.149
Non-coalesced, 662464, 942, 205.86
Coalesced, 662464, 944, 176.743
Non-coalesced, 662464, 944, 193.756
Coalesced, 662464, 946, 162.784
Non-coalesced, 662464, 946, 168.074
Coalesced, 662464, 948, 160.055
Non-coalesced, 662464, 948, 167.12
Coalesced, 662464, 950, 187.293
Non-coalesced, 662464, 950, 170.916
Coalesced, 662464, 952, 202.381
Non-coalesced, 662464, 952, 239.621
Coalesced, 662464, 954, 192.429
Non-coalesced, 662464, 954, 184.096
Coalesced, 662464, 956, 162.382
Non-coalesced, 662464, 956, 188.124
Coalesced, 662464, 958, 191.955
Non-coalesced, 662464, 958, 189.36
Coalesced, 662464, 960, 170.947
Non-coalesced, 662464, 960, 171.067
Coalesced, 662464, 962, 210.811
Non-coalesced, 662464, 962, 170.974
Coalesced, 662464, 964, 163.361
Non-coalesced, 662464, 964, 169.437
Coalesced, 662464, 966, 157.823
Non-coalesced, 662464, 966, 166.949
Coalesced, 662464, 968, 161.626
Non-coalesced, 662464, 968, 184
Coalesced, 662464, 970, 161.895
Non-coalesced, 662464, 970, 168.427
Coalesced, 662464, 972, 158.621
Non-coalesced, 662464, 972, 167.156
Coalesced, 662464, 974, 170.432
Non-coalesced, 662464, 974, 166.721
Coalesced, 662464, 976, 169.842
Non-coalesced, 662464, 976, 169.928
Coalesced, 662464, 978, 160.801
Non-coalesced, 662464, 978, 166.26
Coalesced, 662464, 980, 177.875
Non-coalesced, 662464, 980, 184.107
Coalesced, 662464, 982, 162.72
Non-coalesced, 662464, 982, 165.418
Coalesced, 662464, 984, 160.757
Non-coalesced, 662464, 984, 165.581
Coalesced, 662464, 986, 179.907
Non-coalesced, 662464, 986, 171.113
Coalesced, 662464, 988, 162.413
Non-coalesced, 662464, 988, 168.263
Coalesced, 662464, 990, 159.349
Non-coalesced, 662464, 990, 167.32
Coalesced, 662464, 992, 171.571
Non-coalesced, 662464, 992, 164.249
Coalesced, 662464, 994, 163.117
Non-coalesced, 662464, 994, 167.983
Coalesced, 662464, 996, 176.61
Non-coalesced, 662464, 996, 174.323
Coalesced, 662464, 998, 210.256
Non-coalesced, 662464, 998, 223.744
Coalesced, 662464, 1000, 415.653
Non-coalesced, 662464, 1000, 322.774
Coalesced, 662464, 1002, 465.193
Non-coalesced, 662464, 1002, 286.217
Coalesced, 662464, 1004, 349.985
Non-coalesced, 662464, 1004, 259.443
Coalesced, 662464, 1006, 439.299
Non-coalesced, 662464, 1006, 368.702
Coalesced, 662464, 1008, 407.757
Non-coalesced, 662464, 1008, 385.004
Coalesced, 662464, 1010, 173.421
Non-coalesced, 662464, 1010, 177.828
Coalesced, 662464, 1012, 302.148
Non-coalesced, 662464, 1012, 190.647
Coalesced, 662464, 1014, 206.536
Non-coalesced, 662464, 1014, 176.516
Coalesced, 662464, 1016, 159.746
Non-coalesced, 662464, 1016, 154.742
Coalesced, 662464, 1018, 161.823
Non-coalesced, 662464, 1018, 170.845
Coalesced, 662464, 1020, 178.503
Non-coalesced, 662464, 1020, 182.039
Coalesced, 662464, 1022, 173.412
Non-coalesced, 662464, 1022, 190.795
Coalesced, 662464, 1024, 165.165
Non-coalesced, 662464, 1024, 158.207
